source,target,call_count,caller_source,callee_source,mode
phase1_scanner.Phase1Scanner.export_csv,writer.writerow,2,project,external,static
phase1_scanner.Phase1Scanner.export_csv,ent.get,7,project,external,static
phase1_scanner.Phase1Scanner.export_html,output_file.exists,1,project,external,static
phase1_scanner.Phase1Scanner.export_html,Confirm.ask,1,project,external,static
phase1_scanner.Phase1Scanner.export_html,console.print,3,project,external,static
phase1_scanner.Phase1Scanner.export_html,e,6,project,external,static
phase1_scanner.Phase1Scanner.export_html,str,1,project,external,static
phase1_scanner.Phase1Scanner.export_html,ent.get,6,project,external,static
phase1_scanner.Phase1Scanner.export_html,open,1,project,external,static
phase1_scanner.Phase1Scanner.export_html,f.write,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,console.print,12,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,Prompt.ask,2,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,e.get,2,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,len,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,console.clear,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,Panel.fit,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,min,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,Table,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,table.add_column,5,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,enumerate,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,ent.get,4,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,table.add_row,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,str,1,project,external,static
phase1_scanner.Phase1Scanner.display_entity_table,self.display_entity_table,1,project,external,static
phase1_scanner.Phase1Scanner.reset,console.print,1,project,external,static
phase1_scanner.main,Phase1Scanner,1,project,external,static
phase1_scanner.main,console.print,8,project,external,static
phase1_scanner.main,Panel.fit,1,project,external,static
phase1_scanner.main,Prompt.ask,11,project,external,static
phase1_scanner.main,path_input.strip,1,project,external,static
phase1_scanner.main,scanner.scan_directory,1,project,external,static
phase1_scanner.main,resolve,1,project,external,static
phase1_scanner.main,Path,1,project,external,static
phase1_scanner.main,Panel,1,project,external,static
phase1_scanner.main,scanner.display_tree,1,project,external,static
phase1_scanner.main,scanner.export_json,1,project,external,static
phase1_scanner.main,scanner.export_xml,1,project,external,static
phase1_scanner.main,scanner.export_md,1,project,external,static
phase1_scanner.main,scanner.export_dot,1,project,external,static
phase1_scanner.main,scanner.export_csv,1,project,external,static
phase1_scanner.main,scanner.export_html,1,project,external,static
phase1_scanner.main,scanner.display_entity_table,1,project,external,static
phase1_scanner.main,scanner.reset,1,project,external,static
phase1_scanner,main,1,project,external,static
